Dataset,Method,mAP50-95@30,mAP50-95@50,mAP50-95@75,mAP50-95@100,delta_30_50,delta_50_75,delta_75_100,best_epoch,best_metric
NEU-DET,Full-SFT,0.25744452354132374,0.29008233569077096,0.32419127725947944,0.329271082024551,0.03263781214944722,0.03410894156870847,0.005079804765071583,85,0.32866
NEU-DET,Frozen Backbone,0.23839585625340626,0.27079011506803646,0.28699165400742194,0.29013037345959347,0.032394258814630206,0.016201538939385474,0.0031387194521715345,79,0.2694
NEU-DET,V-PEFT,0.20425124418261242,0.23793668634520096,0.2933383623370134,0.32803419678443413,0.033685442162588536,0.05540167599181242,0.03469583444742075,87,0.31786
DeepPCB,Full-SFT,0.42937637491592173,0.5323696932952585,0.5950826497992149,0.63453779041467,0.10299331837933678,0.06271295650395636,0.039455140615455075,75,0.63496
DeepPCB,Frozen Backbone,0.30567215414437726,0.40451182167198585,0.4534244663629185,0.4754075812321887,0.09883966752760859,0.04891264469093265,0.02198311486927018,63,0.48668
DeepPCB,V-PEFT,0.21166030635173602,0.3631331591525668,0.4633379393164864,0.5115343793414727,0.15147285280083075,0.10020478016391965,0.0481964400249863,70,0.51776
