dataset,method,run_id,epoch,train_box_loss,train_cls_loss,train_dfl_loss,train_loss,val_box_loss,val_cls_loss,val_dfl_loss,val_loss,precision,recall,map50,map50_95,learning_rate
NEU-DET,Full-SFT,neu_full_seed824_e50,1,1.95788,3.84718,1.9347,7.73976,2.21492,4.32702,2.27695,8.81889,0.00893,0.40472,0.01921,0.00662,0.000132
NEU-DET,Full-SFT,neu_full_seed824_e50,2,1.68328,3.68677,1.74916,7.11921,2.15367,4.35126,2.3868,8.891729999999999,0.00788,0.5331,0.10799,0.04507,0.0002747316
NEU-DET,Full-SFT,neu_full_seed824_e50,3,1.72386,3.58905,1.83067,7.14358,2.17367,4.35666,2.49294,9.02327,0.00643,0.54638,0.11747,0.04996,0.00041636859999999996
NEU-DET,Full-SFT,neu_full_seed824_e50,4,1.64411,3.40512,1.78839,6.837619999999999,2.36533,4.27268,2.59878,9.236790000000001,0.00594,0.65378,0.09891,0.03801,0.0005560815999999999
NEU-DET,Full-SFT,neu_full_seed824_e50,5,1.63046,3.21218,1.71151,6.55415,2.42957,4.06859,2.73131,9.229470000000001,0.44054,0.14245,0.12814,0.0414,0.000693051
NEU-DET,Full-SFT,neu_full_seed824_e50,6,1.77506,3.04251,1.80752,6.62509,2.60674,4.4045,2.74196,9.7532,0.41305,0.12727,0.09484,0.02667,0.0008264796000000002
NEU-DET,Full-SFT,neu_full_seed824_e50,7,1.74876,2.83118,1.776,6.3559399999999995,2.37532,5.60087,2.60645,10.58264,0.15355,0.22983,0.11629,0.0403,0.0009555866
NEU-DET,Full-SFT,neu_full_seed824_e50,8,1.76259,2.78656,1.80114,6.35029,2.27152,3.68339,2.38644,8.34135,0.22075,0.27659,0.16829,0.061,0.0010481784
NEU-DET,Full-SFT,neu_full_seed824_e50,9,1.74044,2.7003,1.73673,6.17747,2.63677,4.24027,2.79597,9.67301,0.56701,0.1808,0.1946,0.06927,0.0010326484
NEU-DET,Full-SFT,neu_full_seed824_e50,10,1.81236,2.66659,1.84034,6.31929,2.36924,4.62174,2.49573,9.48671,0.48361,0.2086,0.13794,0.05614,0.0010152353999999999
NEU-DET,Full-SFT,neu_full_seed824_e50,11,1.7807,2.58342,1.76958,6.133699999999999,2.5002,8.06362,2.60966,13.17348,0.16152,0.30987,0.13707,0.04599,0.0009960102
NEU-DET,Full-SFT,neu_full_seed824_e50,12,1.7351,2.55475,1.78104,6.0708899999999995,2.35255,4.80636,2.55993,9.71884,0.20728,0.3277,0.19706,0.06725,0.0009750448
NEU-DET,Full-SFT,neu_full_seed824_e50,13,1.66098,2.47023,1.73993,5.87114,2.07127,5.2407,2.21437,9.526340000000001,0.24509,0.34791,0.24046,0.09287,0.0009524233999999999
NEU-DET,Full-SFT,neu_full_seed824_e50,14,1.64319,2.31836,1.69634,5.65789,2.06673,5.00408,2.20366,9.27447,0.30665,0.42235,0.25381,0.09601,0.0009282356
NEU-DET,Full-SFT,neu_full_seed824_e50,15,1.73165,2.52455,1.84838,6.1045799999999995,2.2246,4.08491,2.33898,8.648489999999999,0.42635,0.34275,0.2167,0.07708,0.0009025774
NEU-DET,Full-SFT,neu_full_seed824_e50,16,1.6586,2.38367,1.75379,5.796060000000001,2.15983,3.60238,2.33261,8.094819999999999,0.47955,0.21722,0.21921,0.08667,0.0008755498
NEU-DET,Full-SFT,neu_full_seed824_e50,17,1.66464,2.31561,1.76527,5.74552,2.09906,4.28102,2.31409,8.69417,0.44848,0.33948,0.28452,0.11013,0.0008472578
NEU-DET,Full-SFT,neu_full_seed824_e50,18,1.59476,2.30452,1.68314,5.58242,2.20061,4.8879,2.23852,9.32703,0.45568,0.33362,0.29181,0.11006,0.0008178155999999999
NEU-DET,Full-SFT,neu_full_seed824_e50,19,1.64543,2.26184,1.72564,5.63291,2.14339,5.15196,2.17567,9.47102,0.63918,0.28363,0.32669,0.14542,0.0007873366
NEU-DET,Full-SFT,neu_full_seed824_e50,20,1.63709,2.2735,1.72162,5.63221,2.12019,3.85227,2.18272,8.15518,0.4884,0.30827,0.33635,0.13863,0.0007559434
NEU-DET,Full-SFT,neu_full_seed824_e50,21,1.5515,2.16063,1.65791,5.37004,2.15574,3.45684,2.20385,7.81643,0.30573,0.39938,0.3026,0.12527,0.0007237602
NEU-DET,Full-SFT,neu_full_seed824_e50,22,1.63966,2.17533,1.6811,5.49609,2.10403,3.38233,2.20192,7.688279999999999,0.26674,0.44118,0.32934,0.14534,0.0006909108
NEU-DET,Full-SFT,neu_full_seed824_e50,23,1.53081,2.12021,1.59855,5.24957,2.021,3.36182,2.17343,7.55625,0.44574,0.44665,0.37455,0.17099,0.0006575298000000001
NEU-DET,Full-SFT,neu_full_seed824_e50,24,1.54363,2.19132,1.69038,5.425330000000001,2.08639,3.15772,2.19932,7.44343,0.66918,0.37678,0.40322,0.17624,0.0006237440000000001
NEU-DET,Full-SFT,neu_full_seed824_e50,25,1.50506,2.127,1.63743,5.26949,2.04651,3.01491,2.16808,7.2295,0.67192,0.37632,0.41218,0.18266,0.0005896887999999999
NEU-DET,Full-SFT,neu_full_seed824_e50,26,1.47499,1.99816,1.57824,5.05139,1.93822,2.70095,2.07473,6.713900000000001,0.6991,0.40105,0.44259,0.19877,0.0005555
NEU-DET,Full-SFT,neu_full_seed824_e50,27,1.4863,2.06336,1.61723,5.1668899999999995,1.93815,2.63708,2.05561,6.630840000000001,0.5613,0.46667,0.44591,0.20039,0.0005213106000000001
NEU-DET,Full-SFT,neu_full_seed824_e50,28,1.49713,1.92281,1.58799,5.00793,1.96259,2.62231,2.06875,6.653650000000001,0.5762,0.44643,0.46317,0.20809,0.000487256
NEU-DET,Full-SFT,neu_full_seed824_e50,29,1.43069,1.98254,1.58426,4.99749,1.93431,2.53219,2.03947,6.50597,0.63629,0.45287,0.48806,0.22132,0.0004534706
NEU-DET,Full-SFT,neu_full_seed824_e50,30,1.39477,1.77332,1.51236,4.68045,1.89422,2.48848,2.00485,6.387549999999999,0.60251,0.48308,0.48989,0.22513,0.0004200886
NEU-DET,Full-SFT,neu_full_seed824_e50,31,1.44437,1.99112,1.55515,4.99064,1.85554,2.62201,1.9806,6.45815,0.59957,0.51183,0.49329,0.22915,0.0003872404
NEU-DET,Full-SFT,neu_full_seed824_e50,32,1.41121,1.87889,1.5708,4.8609,1.82439,2.65621,1.97333,6.45393,0.46297,0.59411,0.49592,0.24025,0.000355056
NEU-DET,Full-SFT,neu_full_seed824_e50,33,1.41197,1.95307,1.59202,4.95706,1.82918,2.65838,1.97284,6.4604,0.38468,0.55433,0.48738,0.24181,0.00032366320000000004
