dataset,method,run_id,trainable_parameters,trainable_parameter_reduction_vs_full_percent,observed_peak_reserved_mib,observed_memory_saving_vs_full_percent,observed_training_seconds,observed_training_time_change_vs_full_percent,observed_mean_terminal_iteration_speed_it_s,observed_speed_epochs_parsed,profile_forward_ms,profile_backward_ms,profile_optimizer_step_ms,profile_iteration_ms,profile_peak_allocated_mib,profile_peak_reserved_mib,runtime_fp32_parameter_mib,runtime_fp32_trainable_parameter_mib,optimizer_state_mib,adapter_parameters,runtime_fp32_adapter_mib
NEU-DET,Full-SFT,neu_det_full_sft_seed824,2590994,0.0,2652.16,0.0,115.251,0.0,6.77,30,24.281715202331544,27.346438026428224,0.45685439705848696,52.085008239746095,1857.0322265625,2352.0,9.883918762207031,9.883857727050781,19.768688201904297,0,0.0
NEU-DET,Frozen Backbone,neu_det_frozen_backbone_seed824,1225522,52.70070096650166,1699.84,35.907335907335906,106.529,-7.567830214054549,7.716666666666667,30,22.344351768493652,9.472921562194824,2.178016018867493,33.9952896118164,876.8271484375,996.0,9.883918762207031,4.674995422363281,9.350505828857422,0,0.0
NEU-DET,V-PEFT,neu_det_vpeft_seed824,613602,76.3178918978585,2621.44,1.158301158301156,129.778,12.60466286626578,6.496666666666667,30,38.808963012695315,30.683808708190917,2.93929603099823,72.4320671081543,1762.4921875,2002.0,10.577278137207031,2.3407058715820312,4.681938171386719,181760,0.693359375
DeepPCB,Full-SFT,deeppcb_full_sft_seed824,2590994,0.0,2672.64,0.0,119.595,0.0,6.826666666666667,30,25.19475212097168,28.607225799560545,0.4566655993461609,54.258642959594724,1856.66650390625,2354.0,9.883918762207031,9.883857727050781,19.768688201904297,0,0.0
DeepPCB,Frozen Backbone,deeppcb_frozen_backbone_seed824,1225522,52.70070096650166,1710.08,36.015325670498086,112.703,-5.762782725030302,7.6033333333333335,30,22.826080131530762,10.23370885848999,2.2682655572891237,35.32805480957031,876.82763671875,994.0,9.883918762207031,4.674995422363281,9.350505828857422,0,0.0
DeepPCB,V-PEFT,deeppcb_vpeft_seed824,613602,76.3178918978585,2641.92,1.1494252873563093,137.332,14.830887578912154,6.336666666666667,30,38.97932472229004,22.750576400756835,2.829929566383362,64.55983047485351,1761.99267578125,2004.0,10.577278137207031,2.3407058715820312,4.681938171386719,181760,0.693359375
