dataset,method,seed,map50_95,map50,precision,recall,trainable_parameters,total_parameters,trainable_ratio_percent,trainable_vs_full_percent,peak_gpu_memory_mib,memory_saving_vs_full_percent,training_seconds,training_time_ratio_vs_full,gpu_hours,checkpoint_mib,adapter_mib,status
NEU-DET,Full-SFT,824,0.25744452354132374,0.49185461166939914,0.45738001127806777,0.5391605506591008,2590994,2591010,99.99938248019113,100.0,2652.16,0.0,115.251,1.0,0.0320142,5.234155654907227,0.0,PASS
NEU-DET,Frozen Backbone,824,0.23839585625340626,0.49218418879478826,0.6109289417571464,0.4760900432497958,1225522,2591010,47.29900695095735,47.29929903349834,1699.84,35.907335907335906,106.529,0.9243216978594545,0.02959134,5.234216690063477,0.0,PASS
NEU-DET,V-PEFT,824,0.20425124418261242,0.38747471569049985,0.399112451898461,0.3921888012029267,613602,2772770,22.12956718371881,23.682108102141495,2621.44,1.158301158301156,129.778,1.1260466286626578,0.03604931,5.747270584106445,0.7283668518066406,PASS
DeepPCB,Full-SFT,824,0.42937637491592173,0.6606329046822891,0.5913607469301966,0.6740930278662874,2590994,2591010,99.99938248019113,100.0,2672.64,0.0,119.595,1.0,0.03322092,5.234155654907227,0.0,PASS
DeepPCB,Frozen Backbone,824,0.30567215414437726,0.5263801148378326,0.4856682905067022,0.5893487999627604,1225522,2591010,47.29900695095735,47.29929903349834,1710.08,36.015325670498086,112.703,0.942372172749697,0.03130652,5.234155654907227,0.0,PASS
DeepPCB,V-PEFT,824,0.21166030635173602,0.3877496080009646,0.3575243986706476,0.5029372298223027,613602,2772770,22.12956718371881,23.682108102141495,2641.92,1.1494252873563093,137.332,1.1483088757891216,0.03814765,5.747209548950195,0.7283668518066406,PASS
