dataset,method,map50_95_e30_test,map50_95_e50_test,map50_95_e75_test,delta_e30_e50,delta_e50_e75,best_validation_epoch_e75
NEU-DET,Full-SFT,0.25744452354132374,0.29008233569077096,0.32419127725947944,0.03263781214944722,0.03410894156870847,64
NEU-DET,Frozen Backbone,0.23839585625340626,0.27079011506803646,0.28699165400742194,0.032394258814630206,0.016201538939385474,62
NEU-DET,V-PEFT,0.20425124418261242,0.23793668634520096,0.2933383623370134,0.033685442162588536,0.05540167599181242,66
DeepPCB,Full-SFT,0.42937637491592173,0.5323696932952585,0.5950826497992149,0.10299331837933678,0.06271295650395636,58
DeepPCB,Frozen Backbone,0.30567215414437726,0.40451182167198585,0.4534244663629185,0.09883966752760859,0.04891264469093265,74
DeepPCB,V-PEFT,0.21166030635173602,0.3631331591525668,0.4633379393164864,0.15147285280083075,0.10020478016391965,62
