dataset,method,run_id,epoch,train_box_loss,train_cls_loss,train_dfl_loss,train_loss,val_box_loss,val_cls_loss,val_dfl_loss,val_loss,precision,recall,map50,map50_95,learning_rate
NEU-DET,Full-SFT,neu_full_seed824_e75,32,1.44764,1.91549,1.57637,4.9395,1.83982,2.58546,1.96934,6.39462,0.36967,0.57111,0.4845,0.21649,0.0007019266
NEU-DET,Full-SFT,neu_full_seed824_e75,33,1.46456,1.98268,1.62084,5.06808,1.88806,2.49137,2.03417,6.413600000000001,0.36358,0.50626,0.46363,0.20702,0.0006798378
NEU-DET,Full-SFT,neu_full_seed824_e75,34,1.48285,1.9702,1.5659,5.01895,1.82944,2.42902,2.01541,6.27387,0.50205,0.48885,0.51819,0.24802,0.0006575298000000001
NEU-DET,Full-SFT,neu_full_seed824_e75,35,1.41908,1.91629,1.50801,4.84338,1.84205,2.46165,1.98815,6.29185,0.55933,0.51661,0.49741,0.22999,0.0006350418
NEU-DET,Full-SFT,neu_full_seed824_e75,36,1.38673,1.89093,1.52528,4.8029399999999995,1.92478,2.50367,2.01106,6.43951,0.4571,0.5239,0.47258,0.21166,0.0006124154000000001
NEU-DET,Full-SFT,neu_full_seed824_e75,37,1.39169,1.7828,1.52157,4.69606,1.94979,2.46635,2.01175,6.42789,0.56289,0.43121,0.47096,0.1973,0.0005896887999999999
NEU-DET,Full-SFT,neu_full_seed824_e75,38,1.46927,1.83134,1.54927,4.84988,1.89687,2.40859,1.95964,6.2651,0.53727,0.49339,0.50154,0.22373,0.0005669022000000001
NEU-DET,Full-SFT,neu_full_seed824_e75,39,1.3737,1.68312,1.50526,4.56208,1.90076,2.40258,1.96529,6.26863,0.47666,0.51613,0.51041,0.22617,0.0005440972
NEU-DET,Full-SFT,neu_full_seed824_e75,40,1.43349,1.82642,1.5148,4.77471,1.90416,2.33581,1.97896,6.218929999999999,0.4897,0.51807,0.52825,0.23675,0.0005213106000000001
NEU-DET,Full-SFT,neu_full_seed824_e75,41,1.40893,1.80156,1.5279,4.73839,1.88494,2.27766,1.99993,6.16253,0.44532,0.59708,0.54245,0.25181,0.000498584
NEU-DET,Full-SFT,neu_full_seed824_e75,42,1.29442,1.75242,1.47236,4.5192,1.83086,2.22503,2.01535,6.0712399999999995,0.49339,0.58176,0.55278,0.27097,0.00047595779999999994
NEU-DET,Full-SFT,neu_full_seed824_e75,43,1.39755,1.75323,1.54013,4.690910000000001,1.79966,2.24617,2.00972,6.05555,0.51196,0.56533,0.5664,0.27378,0.0004534706
NEU-DET,Full-SFT,neu_full_seed824_e75,44,1.38218,1.72508,1.52932,4.63658,1.83069,2.25489,2.01391,6.09949,0.52232,0.59247,0.58496,0.28114,0.00043116279999999996
NEU-DET,Full-SFT,neu_full_seed824_e75,45,1.3564,1.7028,1.45393,4.51313,1.84424,2.25389,1.99794,6.09607,0.50271,0.55975,0.58103,0.28276,0.00040907320000000005
NEU-DET,Full-SFT,neu_full_seed824_e75,46,1.30145,1.66571,1.4474,4.41456,1.81268,2.23021,1.94222,5.98511,0.45058,0.58542,0.5824,0.28688,0.0003872404
NEU-DET,Full-SFT,neu_full_seed824_e75,47,1.231,1.55949,1.40803,4.19852,1.77016,2.20066,1.91543,5.8862499999999995,0.44565,0.58784,0.57263,0.28503,0.00036570259999999996
NEU-DET,Full-SFT,neu_full_seed824_e75,48,1.31965,1.61894,1.42904,4.36763,1.74182,2.16412,1.90676,5.8127,0.67692,0.5001,0.59041,0.30221,0.000344498
NEU-DET,Full-SFT,neu_full_seed824_e75,49,1.30032,1.70464,1.49052,4.49548,1.73516,2.13387,1.90052,5.76955,0.4702,0.59549,0.60174,0.30967,0.00032366320000000004
NEU-DET,Full-SFT,neu_full_seed824_e75,50,1.34294,1.64661,1.47808,4.46763,1.75178,2.108,1.90343,5.76321,0.74972,0.49638,0.60973,0.31347,0.000303235
NEU-DET,Full-SFT,neu_full_seed824_e75,51,1.26399,1.61724,1.43128,4.31251,1.77132,2.08809,1.88573,5.745139999999999,0.7094,0.4791,0.59595,0.3023,0.00028325000000000003
NEU-DET,Full-SFT,neu_full_seed824_e75,52,1.33389,1.61064,1.49141,4.43594,1.79061,2.09202,1.87872,5.76135,0.51553,0.56822,0.58731,0.292,0.0002637424
NEU-DET,Full-SFT,neu_full_seed824_e75,53,1.3272,1.61158,1.4303,4.36908,1.79723,2.09277,1.89059,5.78059,0.67156,0.49886,0.58177,0.2911,0.0002447466
NEU-DET,Full-SFT,neu_full_seed824_e75,54,1.27317,1.57897,1.40699,4.25913,1.77239,2.0881,1.87723,5.7377199999999995,0.51992,0.59579,0.59911,0.29824,0.0002262956
NEU-DET,Full-SFT,neu_full_seed824_e75,55,1.35492,1.52882,1.4352,4.31894,1.75629,2.08415,1.86633,5.706770000000001,0.55288,0.61713,0.61063,0.30793,0.00020842252
NEU-DET,Full-SFT,neu_full_seed824_e75,56,1.22416,1.52032,1.37145,4.11593,1.75669,2.05975,1.86767,5.68411,0.55839,0.59509,0.59867,0.30868,0.00019115824
NEU-DET,Full-SFT,neu_full_seed824_e75,57,1.26331,1.53411,1.40091,4.19833,1.75914,2.04915,1.88111,5.6894,0.55638,0.59616,0.60154,0.30306,0.00017453346
NEU-DET,Full-SFT,neu_full_seed824_e75,58,1.31836,1.5263,1.48278,4.32744,1.74179,2.03817,1.87358,5.65354,0.54931,0.58876,0.59782,0.30273,0.00015857686
NEU-DET,Full-SFT,neu_full_seed824_e75,59,1.25084,1.55405,1.3892,4.19409,1.73176,2.01154,1.87602,5.61932,0.55876,0.59168,0.60413,0.30696,0.00014331594
NEU-DET,Full-SFT,neu_full_seed824_e75,60,1.17513,1.43364,1.36194,3.9707099999999995,1.73438,1.97979,1.88809,5.60226,0.5759,0.60806,0.6098,0.30652,0.00012877898
NEU-DET,Full-SFT,neu_full_seed824_e75,61,1.25635,1.46739,1.41851,4.142250000000001,1.73621,1.96555,1.8864,5.58816,0.57628,0.59916,0.61388,0.3142,0.00011499046
NEU-DET,Full-SFT,neu_full_seed824_e75,62,1.27961,1.50963,1.41192,4.20116,1.72079,1.95534,1.87018,5.54631,0.57906,0.6074,0.61905,0.318,0.0001019744
NEU-DET,Full-SFT,neu_full_seed824_e75,63,1.24816,1.48143,1.39954,4.12913,1.72098,1.94601,1.88194,5.54893,0.53421,0.61593,0.62471,0.32209,8.975408e-05
NEU-DET,Full-SFT,neu_full_seed824_e75,64,1.15277,1.40962,1.31542,3.87781,1.72458,1.95634,1.88073,5.56165,0.52261,0.62107,0.63153,0.32628,7.835094e-05
NEU-DET,Full-SFT,neu_full_seed824_e75,65,1.24889,1.59466,1.38178,4.22533,1.72026,1.94834,1.87937,5.547969999999999,0.53481,0.61735,0.63222,0.32584,6.778488e-05
NEU-DET,Full-SFT,neu_full_seed824_e75,66,1.22808,1.68109,1.39912,4.3082899999999995,1.72703,1.96047,1.87352,5.56102,0.55239,0.62933,0.64172,0.32399,5.80745e-05
NEU-DET,Full-SFT,neu_full_seed824_e75,67,1.30456,1.8348,1.43713,4.57649,1.73367,1.97804,1.88317,5.59488,0.57205,0.63758,0.64278,0.32199,4.923668e-05
NEU-DET,Full-SFT,neu_full_seed824_e75,68,1.23461,1.66795,1.41121,4.31377,1.73081,1.98343,1.88546,5.5997,0.60539,0.61636,0.64044,0.32174,4.1287060000000004e-05
NEU-DET,Full-SFT,neu_full_seed824_e75,69,1.27163,1.68481,1.48429,4.44073,1.73527,1.99653,1.88719,5.61899,0.60137,0.61611,0.64023,0.32062,3.42395e-05
NEU-DET,Full-SFT,neu_full_seed824_e75,70,1.23796,1.66653,1.44041,4.3449,1.74336,2.00189,1.89591,5.64116,0.58869,0.62503,0.64249,0.32123,2.8106460000000003e-05
NEU-DET,Full-SFT,neu_full_seed824_e75,71,1.1682,1.60666,1.37138,4.14624,1.74168,2.0102,1.89128,5.64316,0.59585,0.62068,0.64061,0.32143,2.289862e-05
NEU-DET,Full-SFT,neu_full_seed824_e75,72,1.23673,1.64312,1.4289,4.30875,1.74426,2.01214,1.88988,5.64628,0.57931,0.62092,0.64504,0.32322,1.8625176e-05
NEU-DET,Full-SFT,neu_full_seed824_e75,73,1.22329,1.66647,1.46651,4.35627,1.73952,2.01032,1.88866,5.6385,0.57779,0.6203,0.64541,0.32394,1.5293522e-05
NEU-DET,Full-SFT,neu_full_seed824_e75,74,1.15624,1.602,1.3884,4.14664,1.73945,2.0135,1.89346,5.64641,0.60035,0.61506,0.64816,0.32466,1.2909624e-05
NEU-DET,Full-SFT,neu_full_seed824_e75,75,1.24236,1.74724,1.48969,4.47929,1.73531,2.01568,1.88509,5.63608,0.58696,0.63568,0.64574,0.32168,1.1477620000000001e-05
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,1,1.88405,3.83568,1.85049,7.57022,2.0635,4.2125,2.08961,8.36561,0.01094,0.57229,0.02901,0.00894,0.000132
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,2,1.55125,3.6457,1.69602,6.89297,1.93446,4.16369,2.06211,8.160260000000001,0.00816,0.74541,0.13122,0.04975,0.0002748804
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,3,1.70485,3.57531,1.80925,7.089410000000001,1.93654,4.10745,2.07038,8.114370000000001,0.00779,0.8572,0.14318,0.05755,0.0004172742
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,4,1.62406,3.39981,1.77749,6.801360000000001,2.10472,4.03344,2.16757,8.305729999999999,0.00763,0.82563,0.13487,0.05013,0.0005588104
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,5,1.63093,3.23147,1.74668,6.6090800000000005,2.17945,3.80875,2.33741,8.325610000000001,0.73694,0.04461,0.18027,0.06572,0.0006991208000000001
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,6,1.76166,3.15486,1.86221,6.77873,2.21758,3.73405,2.45768,8.40931,0.29652,0.17857,0.11141,0.03864,0.0008378376
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,7,1.66209,2.83661,1.78572,6.284419999999999,2.21912,3.80027,2.35949,8.378879999999999,0.34086,0.24694,0.14485,0.05283,0.0009746048000000001
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,8,1.70497,2.82521,1.82798,6.358160000000001,2.30888,4.173,2.42392,8.9058,0.15096,0.38309,0.13233,0.04942,0.0010767612
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,9,1.62283,2.58779,1.72363,5.9342500000000005,2.17621,4.6139,2.34303,9.133140000000001,0.27407,0.30068,0.21734,0.09792,0.0010697122
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,10,1.67878,2.6198,1.77599,6.0745700000000005,2.14138,4.49467,2.32112,8.95717,0.30864,0.4063,0.26684,0.10447,0.0010617634
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,11,1.73297,2.48057,1.78332,5.99686,2.16313,4.2609,2.31931,8.74334,0.31052,0.34336,0.27027,0.09818,0.0010529256000000001
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,12,1.64861,2.57298,1.74138,5.96297,2.11652,3.85845,2.25138,8.22635,0.33167,0.37644,0.27298,0.10527,0.001043214
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,13,1.62138,2.42834,1.7024,5.75212,2.01528,3.30845,2.22117,7.5449,0.44386,0.47012,0.36053,0.14634,0.0010326484
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,14,1.57488,2.28549,1.67282,5.533189999999999,2.05447,3.826,2.26546,8.14593,0.32589,0.47606,0.3509,0.14282,0.0010212456
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,15,1.6469,2.48464,1.76112,5.89266,2.06213,4.519,2.2446,8.82573,0.24962,0.45912,0.30089,0.12505,0.0010090251999999998
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,16,1.63582,2.30512,1.73058,5.67152,2.00515,4.18923,2.13243,8.32681,0.31604,0.38986,0.31504,0.12505,0.0009960102
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,17,1.58822,2.25019,1.69349,5.531899999999999,1.94587,3.97943,2.09445,8.01975,0.37835,0.42193,0.34382,0.14757,0.0009822216
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,18,1.53223,2.31567,1.62334,5.47124,1.90539,3.72447,2.0824,7.71226,0.67668,0.4033,0.40488,0.16491,0.0009676849999999999
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,19,1.60666,2.23971,1.69977,5.54614,1.96564,3.24285,2.0936,7.30209,0.62077,0.45534,0.43442,0.17309,0.0009524233999999999
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,20,1.59804,2.19765,1.67732,5.4730099999999995,1.95618,3.05684,2.07071,7.08373,0.59278,0.41894,0.41386,0.17635,0.0009364672000000001
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,21,1.5411,2.17039,1.64353,5.35502,2.06242,3.98478,2.15814,8.20534,0.35258,0.45497,0.36116,0.16033,0.000919842
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,22,1.64522,2.15759,1.67274,5.47555,2.02569,3.71981,2.15698,7.90248,0.359,0.45178,0.36128,0.15469,0.0009025774
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,23,1.52147,2.09113,1.59395,5.20655,2.01414,3.56717,2.14614,7.72745,0.32444,0.54077,0.38121,0.15997,0.0008847038
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,24,1.55912,2.16212,1.70206,5.423299999999999,2.01558,3.48299,2.11697,7.615539999999999,0.34897,0.54947,0.37625,0.15657,0.0008662542000000001
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,25,1.49321,2.06115,1.61393,5.16829,2.01603,3.42294,2.08487,7.52384,0.50472,0.47311,0.39615,0.17238,0.0008472578
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,26,1.47374,1.97663,1.5717,5.02207,2.04761,3.34875,2.11477,7.51113,0.50844,0.46365,0.39748,0.17245,0.00082775
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,27,1.53355,2.02592,1.61974,5.17921,2.01118,3.02318,2.08517,7.119529999999999,0.51172,0.47469,0.38309,0.17659,0.0008077644
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,28,1.45443,1.89811,1.52176,4.8743,1.92999,2.71448,2.0395,6.68397,0.51731,0.49534,0.42616,0.19325,0.0007873366
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,29,1.44516,1.96844,1.56919,4.98279,1.92089,2.71653,2.07369,6.711110000000001,0.58004,0.46974,0.46745,0.20731,0.000766502
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,30,1.38561,1.81359,1.5,4.6992,1.91421,2.68236,2.08114,6.677709999999999,0.54623,0.47956,0.4506,0.19743,0.0007452982
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,31,1.42644,1.94533,1.55849,4.93026,1.87609,2.7516,2.04469,6.6723799999999995,0.52061,0.47253,0.436,0.19471,0.0007237602
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,32,1.433,1.89236,1.57798,4.90334,1.84753,2.62776,1.99325,6.468539999999999,0.54342,0.48057,0.44794,0.20368,0.0007019266
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,33,1.45275,1.9353,1.61784,5.00589,1.82245,2.53452,1.96944,6.326410000000001,0.56829,0.50145,0.4693,0.21413,0.0006798378
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,34,1.44942,1.94558,1.54223,4.93723,1.85669,2.53841,1.97986,6.37496,0.56142,0.46526,0.4557,0.20539,0.0006575298000000001
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,35,1.35477,1.81849,1.47462,4.64788,1.82418,2.54663,1.95884,6.329649999999999,0.60707,0.46684,0.46655,0.2162,0.0006350418
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,36,1.36946,1.81649,1.50969,4.69564,1.78889,2.63687,1.96665,6.39241,0.56693,0.51986,0.48246,0.22492,0.0006124154000000001
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,37,1.37433,1.69767,1.48368,4.555680000000001,1.80152,2.68669,1.96685,6.4550600000000005,0.58139,0.53157,0.48133,0.234,0.0005896887999999999
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,38,1.42006,1.79333,1.5125,4.725890000000001,1.83759,2.78064,1.98842,6.60665,0.59406,0.51893,0.48186,0.22953,0.0005669022000000001
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,39,1.34058,1.68385,1.4753,4.4997300000000005,1.85704,2.81177,1.99876,6.66757,0.61108,0.51776,0.49398,0.23021,0.0005440972
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,40,1.34316,1.77741,1.47142,4.59199,1.85284,2.73746,1.99087,6.58117,0.5847,0.54213,0.49585,0.22258,0.0005213106000000001
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,41,1.31336,1.72141,1.47587,4.51064,1.87778,2.60884,2.00652,6.49314,0.43224,0.61149,0.5004,0.23037,0.000498584
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,42,1.24382,1.68741,1.45331,4.38454,1.86955,2.49537,1.99672,6.3616399999999995,0.40543,0.60526,0.50047,0.23396,0.00047595779999999994
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,43,1.37494,1.7087,1.49286,4.5765,1.83904,2.38912,1.9822,6.21036,0.65915,0.47733,0.52083,0.24377,0.0004534706
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,44,1.3024,1.6903,1.47101,4.46371,1.8723,2.32339,2.00646,6.20215,0.72627,0.46763,0.5318,0.25069,0.00043116279999999996
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,45,1.30535,1.65813,1.42663,4.39011,1.91373,2.30199,2.01004,6.22576,0.67813,0.49371,0.52475,0.24337,0.00040907320000000005
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,46,1.29221,1.66859,1.43558,4.39638,1.91128,2.32134,2.00722,6.239840000000001,0.50286,0.54688,0.52957,0.24671,0.0003872404
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,47,1.21323,1.60445,1.41142,4.2291,1.8909,2.3003,1.99939,6.19059,0.48099,0.53551,0.54011,0.25455,0.00036570259999999996
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,48,1.26141,1.66754,1.39041,4.31936,1.86939,2.28973,1.98565,6.144769999999999,0.48821,0.54763,0.55541,0.26154,0.000344498
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,49,1.29256,1.69959,1.47805,4.4702,1.87035,2.29263,1.97437,6.13735,0.54394,0.54648,0.5634,0.26223,0.00032366320000000004
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,50,1.30863,1.63474,1.4682,4.411569999999999,1.88856,2.29078,1.97056,6.1499,0.49938,0.57948,0.55972,0.25802,0.000303235
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,51,1.21196,1.57663,1.39568,4.18427,1.89642,2.2697,1.96816,6.1342799999999995,0.5214,0.58865,0.56711,0.25601,0.00028325000000000003
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,52,1.29987,1.59204,1.45646,4.34837,1.89729,2.2539,1.96187,6.11306,0.5322,0.57978,0.5608,0.24974,0.0002637424
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,53,1.28683,1.62457,1.40239,4.31379,1.88311,2.23625,1.96592,6.08528,0.50697,0.57996,0.56687,0.25492,0.0002447466
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,54,1.25364,1.55579,1.39105,4.20048,1.88459,2.217,1.9867,6.08829,0.47252,0.62091,0.55476,0.25062,0.0002262956
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,55,1.35787,1.57445,1.43169,4.3640099999999995,1.8679,2.21246,1.97874,6.0591,0.46186,0.6213,0.55338,0.25025,0.00020842252
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,56,1.23015,1.60241,1.39337,4.22593,1.85156,2.2117,1.96808,6.03134,0.44831,0.60549,0.53964,0.24806,0.00019115824
