Dataset,Method,mAP50-95,mAP50,Precision,Recall,Trainable Params,Total Params,Trainable Ratio,Peak GPU Memory,Memory Saving vs Full,Elapsed Time,GPU-hours,Time Ratio,Checkpoint Size,Adapter Size
NEU-DET,Full-SFT,0.329271082024551,0.6400595003656631,0.5926559916754542,0.6448380052175213,2590994,2591010,0.9999938248019112,2652.16,0.0,349.684,0.09713442,1.0,5.243921279907227,0.0
NEU-DET,Frozen Backbone,0.29013037345959347,0.5736110191056554,0.4912692192153698,0.586196661857234,1225522,2591010,0.4729900695095735,1699.84,0.359073359073359,317.399,0.08816633,0.9076737854748859,5.243921279907227,0.0
NEU-DET,V-PEFT,0.32803419678443413,0.6238517029405819,0.616230096355973,0.5839248296195537,613602,2772770,0.2212956718371881,2621.44,0.01158301158301156,395.15,0.10976387,1.1300202468514429,5.757585525512695,0.7283658981323242
DeepPCB,Full-SFT,0.63453779041467,0.920817740582632,0.9040055807388218,0.8557610669674177,2590994,2591010,0.9999938248019112,2672.64,0.0,369.01,0.10250289,1.0,5.243921279907227,0.0
DeepPCB,Frozen Backbone,0.4754075812321887,0.7937581338005799,0.7524897325858726,0.7586984791698078,1225522,2591010,0.4729900695095735,1710.08,0.3601532567049809,335.591,0.09321965,0.9094360586433973,5.243921279907227,0.0
DeepPCB,V-PEFT,0.5115343793414727,0.77943534341831,0.7590504309490184,0.7177333864140611,613602,2772770,0.2212956718371881,2641.92,0.011494252873563093,412.135,0.1144819,1.116866751578548,5.757585525512695,0.7283658981323242
