dataset,comparison,delta_seed824,delta_seed825,delta_seed826,mean_delta,std_delta,ci95_lower,ci95_upper,direction_consistency
NEU-DET,V-PEFT minus Full-SFT,-0.0012368852401168917,-0.016052665692564305,-0.020651472720135955,-0.012647007884272385,0.010145463547084137,-0.037849736485720174,0.012555720717175407,0/3 positive; 3/3 negative
DeepPCB,V-PEFT minus Full-SFT,-0.12300341107319723,-0.12735705264394626,-0.14561759941617625,-0.1319926877111066,0.01199863379555551,-0.161798946413249,-0.1021864290089642,0/3 positive; 3/3 negative
