dataset,method,run_id,map50_95,map50,precision,recall,trainable_parameters,total_parameters,trainable_ratio_percent,trainable_vs_full_percent,peak_gpu_memory_mib,memory_saving_vs_full_percent,training_seconds,gpu_hours,time_ratio_vs_full,checkpoint_mib,adapter_mib,status
NEU-DET,Full-SFT,neu_full_seed824_e50,0.29008233569077096,0.557993313919196,0.7519925656874041,0.47877127577758466,2590994,2591010,99.99938248019113,100.0,2652.16,0.0,182.322,0.05064503,1.0,5.236963272094727,0.0,PASS
NEU-DET,Frozen Backbone,neu_frozen_seed824_e50,0.27079011506803646,0.5409793337492445,0.6636254061413914,0.4982566524493481,1225522,2591010,47.29900695095735,47.29929903349834,1699.84,35.907335907335906,166.866,0.04635157,0.9152269062428012,5.236963272094727,0.0,PASS
NEU-DET,V-PEFT,neu_vpeft_seed824_e50,0.23793668634520096,0.48269639042168033,0.7207969868821077,0.4158119061684806,613602,2772770,22.12956718371881,23.682108102141495,2621.44,1.158301158301156,211.653,0.05879261,1.1608747161615163,5.750200271606445,0.7283668518066406,PASS
DeepPCB,Full-SFT,deeppcb_full_seed824_e50,0.5323696932952585,0.8026843502683995,0.7695619463423236,0.7562736523256631,2590994,2591010,99.99938248019113,100.0,2672.64,0.0,195.796,0.05438767,1.0,5.236963272094727,0.0,PASS
DeepPCB,Frozen Backbone,deeppcb_frozen_seed824_e50,0.40451182167198585,0.6860668019315951,0.658553708495201,0.6521194063511792,1225522,2591010,47.29900695095735,47.29929903349834,1710.08,36.015325670498086,180.718,0.05019934,0.9229912766348648,5.236963272094727,0.0,PASS
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e50,0.3631331591525668,0.5784265882898564,0.52174213624676,0.6320160111381011,613602,2772770,22.12956718371881,23.682108102141495,2641.92,1.1494252873563093,213.919,0.05942194,1.0925606243232753,5.750200271606445,0.7283668518066406,PASS
