dataset,method,run_id,map50_95,map50,precision,recall,trainable_parameters,total_parameters,trainable_ratio_percent,trainable_vs_full_percent,peak_gpu_memory_mib,memory_saving_vs_full_percent,training_seconds,gpu_hours,time_ratio_vs_full,checkpoint_mib,adapter_mib,status
NEU-DET,Full-SFT,neu_full_seed824_e75,0.32419127725947944,0.6025056228201643,0.5384116099721675,0.582525650517716,2590994,2591010,99.99938248019113,100.0,2652.16,0.0,265.849,0.07384694,1.0,5.240442276000977,0.0,PASS
NEU-DET,Frozen Backbone,neu_frozen_seed824_e75,0.28699165400742194,0.5621326523511865,0.4984005451720626,0.5442487943365538,1225522,2591010,47.29900695095735,47.29929903349834,1699.84,35.907335907335906,239.685,0.0665792,0.9015832295776927,5.240442276000977,0.0,PASS
NEU-DET,V-PEFT,neu_vpeft_seed824_e75,0.2933383623370134,0.5792427772102408,0.6980106313813078,0.5127820976931322,613602,2772770,22.12956718371881,23.682108102141495,2621.44,1.158301158301156,298.385,0.08288476,1.1223852638151732,5.753923416137695,0.7283658981323242,PASS
DeepPCB,Full-SFT,deeppcb_full_seed824_e75,0.5950826497992149,0.9028691604642076,0.8870196058230301,0.8310634107475598,2590994,2591010,99.99938248019113,100.0,2672.64,0.0,283.162,0.07865625,1.0,5.240442276000977,0.0,PASS
DeepPCB,Frozen Backbone,deeppcb_frozen_seed824_e75,0.4534244663629185,0.7712197383261833,0.7575191497869036,0.7191603315147984,1225522,2591010,47.29900695095735,47.29929903349834,1710.08,36.015325670498086,253.998,0.07055511,0.8970059541887683,5.240442276000977,0.0,PASS
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e75,0.4633379393164864,0.7317646362955301,0.6960141212250979,0.6937931798107592,613602,2772770,22.12956718371881,23.682108102141495,2641.92,1.1494252873563093,313.968,0.08721326,1.1087928464977648,5.753862380981445,0.7283668518066406,PASS
