Dataset,Trainable Parameter Reduction,Full-SFT mAP50-95,V-PEFT mAP50-95,Accuracy Retention Ratio,Accuracy Drop vs Full-SFT,Memory Saving,Training Time Change,GPU-hour Change
NEU-DET,0.763178918978585,0.329271082024551,0.32803419678443413,0.9962435655372108,0.0012368852401168917,0.01158301158301156,0.13002024685144287,0.13002033676630798
DeepPCB,0.763178918978585,0.63453779041467,0.5115343793414727,0.8061527415210139,0.12300341107319723,0.011494252873563093,0.11686675157854798,0.1168650952182908
