dataset,method,run_id,epoch,train_box_loss,train_cls_loss,train_dfl_loss,train_loss,val_box_loss,val_cls_loss,val_dfl_loss,val_loss,precision,recall,map50,map50_95,learning_rate,last_5_epoch_mean,previous_5_epoch_mean,delta,best_epoch,best_metric,last_epoch_metric,convergence_status
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,15,1.70383,2.52474,1.19148,5.42005,1.61223,2.66829,1.18242,5.46294,0.28792,0.35287,0.27779,0.13152,0.0008576001666666666,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,16,1.72351,2.41692,1.1438,5.28423,1.74536,2.84284,1.21986,5.808059999999999,0.2365,0.36439,0.21608,0.07764,0.0008514431666666666,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,17,1.63772,2.42467,1.14867,5.21106,1.52209,2.57487,1.146,5.24296,0.3051,0.39352,0.31076,0.14449,0.0008448948333333334,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,18,1.59031,2.33434,1.11418,5.03883,1.44083,2.39615,1.13025,4.96723,0.26778,0.51427,0.3281,0.17788,0.0008379605000000001,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,19,1.66684,2.27165,1.12145,5.05994,1.437,2.34742,1.1184,4.90282,0.2977,0.48656,0.35763,0.18917,0.0008306478333333332,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,20,1.59782,2.30651,1.10984,5.01417,1.43057,2.26768,1.10262,4.80087,0.34332,0.46463,0.38006,0.20148,0.0008229643333333333,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,21,1.55564,2.23469,1.09219,4.8825199999999995,1.45802,2.23062,1.11949,4.80813,0.37125,0.4506,0.37883,0.20403,0.0008149168333333334,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,22,1.5126,2.16252,1.07943,4.75455,1.54126,2.24093,1.16138,4.94357,0.34753,0.48555,0.35811,0.18337,0.0008065141666666666,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,23,1.63376,2.15188,1.11722,4.90286,1.44807,2.16701,1.10177,4.71685,0.38216,0.50545,0.3959,0.20276,0.0007977636666666667,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,24,1.54723,2.11885,1.11642,4.7825,1.44337,2.12351,1.10326,4.67014,0.41997,0.48509,0.43639,0.22905,0.0007886743333333333,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,25,1.54397,1.98947,1.08972,4.62316,1.46434,2.10981,1.10659,4.68074,0.43345,0.49263,0.46277,0.23181,0.0007792553333333332,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,26,1.51226,1.9747,1.07962,4.56658,1.36853,2.00654,1.08174,4.45681,0.4854,0.51133,0.50274,0.27295,0.0007695161666666667,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,27,1.50366,1.97801,1.10177,4.58344,1.36316,1.96326,1.08869,4.415109999999999,0.491,0.55886,0.53132,0.29837,0.0007594658333333333,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,28,1.48045,1.95387,1.10011,4.53443,1.41981,1.96837,1.10409,4.49227,0.50542,0.55386,0.54254,0.2994,0.0007491141666666666,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,29,1.5008,1.96421,1.08832,4.55333,1.59501,2.07982,1.14782,4.82265,0.49062,0.56219,0.53172,0.23333,0.0007384723333333333,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,30,1.45714,1.89098,1.07602,4.42414,1.53907,2.01484,1.13091,4.68482,0.50097,0.57205,0.53769,0.25899,0.00072755,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
DeepPCB,V-PEFT,deeppcb_vpeft_seed824_e100,31,1.46522,1.87782,1.08162,4.42466,1.52535,1.95451,1.12894,4.6088000000000005,0.51895,0.56309,0.53777,0.27484,0.0007163585,0.39132,0.40417,-0.012849999999999973,70,0.51776,0.37931,CONVERGED_OR_PLATEAU
