dataset,method,n,map50_95_mean,map50_95_std,map50_95_ci95_lower,map50_95_ci95_upper,map50_mean,map50_std,map50_ci95_lower,map50_ci95_upper,precision_mean,precision_std,precision_ci95_lower,precision_ci95_upper,recall_mean,recall_std,recall_ci95_lower,recall_ci95_upper,trainable_params,total_params,trainable_ratio,peak_gpu_memory_mib_mean,elapsed_seconds_mean,gpu_hours_mean
NEU-DET,Full-SFT,3,0.33293482198614355,0.0038606509957943335,0.3233444332552237,0.3425252107170634,0.637783230319472,0.0019934681553695007,0.632831180897359,0.6427352797415851,0.5956893323418286,0.04592093959762139,0.48161539452407826,0.7097632701595791,0.6175226436491296,0.04754701920590175,0.4994093001539898,0.7356359871442693,2590994,2591010,0.9999938248019112,2652.16,356.16766666666666,0.09893546666666668
NEU-DET,Frozen Backbone,3,0.2934985026476887,0.0068934113840613594,0.2763743194652888,0.31062268583008856,0.5768696148291185,0.004034490448330497,0.5668473849583473,0.5868918446998896,0.5232172165426651,0.028653197168513535,0.45203872889146596,0.5943957041938641,0.5778557917437062,0.014916322752805737,0.5408015918714284,0.6149099916159839,1225522,2591010,0.4729900695095735,1699.84,325.12,0.09031106666666666
NEU-DET,V-PEFT,3,0.3202878141018712,0.00807738282722197,0.30022248280777,0.3403531453959724,0.6110463518508431,0.012852052982114049,0.5791200823633597,0.6429726213383266,0.666795942759841,0.04723361127719444,0.5494611477195939,0.7841307378000881,0.5360607817520785,0.04385072188939299,0.427129549815065,0.644992013689092,613602,2772770,0.2212956718371881,2621.44,402.62899999999996,0.11184136333333333
DeepPCB,Full-SFT,3,0.6485994299897748,0.012947381567164537,0.6164363511691507,0.6807625088103989,0.9225558693404978,0.002601776881688738,0.9160926972708916,0.929019041410104,0.8996339071518556,0.01911240472934561,0.8521560617996673,0.947111752504044,0.8658810227183055,0.010221903613310589,0.8404884064656487,0.8912736389709622,2590994,2591010,0.9999938248019112,2665.813333333333,373.78399999999993,0.10382895666666665
DeepPCB,Frozen Backbone,3,0.4843546761145951,0.014909187605304951,0.4473182009313036,0.5213911512978866,0.805971692865417,0.017133326968935925,0.7634101492125337,0.8485332365183004,0.7842471900773597,0.029559490309715237,0.7108173454561161,0.8576770346986032,0.7541659503652127,0.0052112344742707515,0.7412205262824165,0.7671113744480089,1225522,2591010,0.4729900695095735,1706.6666666666667,340.116,0.09447673333333333
DeepPCB,V-PEFT,3,0.5166067422786682,0.014223060998673856,0.4812747000740084,0.551938784483328,0.795848841052877,0.01608050973963908,0.7559026403829688,0.8357950417227852,0.7790318647095561,0.019884773617036194,0.7296353486760008,0.8284283807431114,0.7303450884461729,0.011143476782892396,0.7026631575287345,0.7580270193636112,613602,2772770,0.2212956718371881,2631.68,423.7443333333333,0.11770682333333334
