dataset,sample_size,full_map50_95_mean,vpeft_map50_95_mean,accuracy_retention,accuracy_drop_vs_full,trainable_parameter_reduction,memory_saving,training_time_change,gpu_hour_change
NEU-DET,10,0.12124624745522476,0.11922147142841355,0.983300299437647,0.002024776026811212,0.763178918978585,0.01526717557251911,0.15234792304775513,0.15234666742794767
NEU-DET,50,0.2686538864237586,0.2505354524487078,0.9325584520058948,0.018118433975050807,0.763178918978585,0.01526717557251911,0.12663345624646505,0.12663317632885152
NEU-DET,100,0.33293482198614355,0.3202878141018712,0.962013562267756,0.012647007884272365,0.763178918978585,0.01158301158301156,0.13044792574283814,0.13044762511859576
NEU-DET,500,0.39951162048240185,0.39085495305989043,0.978331875773579,0.008656667422511422,0.763178918978585,0.01158301158301156,0.05665015747671509,0.05665023671191838
DeepPCB,10,0.2903376546990901,0.18972094695895633,0.6534493335202618,0.10061670774013379,0.763178918978585,0.011406844106463754,0.1957444946202398,0.195745060762339
DeepPCB,50,0.5668969197156016,0.37085159574146104,0.6541781809777838,0.1960453239741406,0.763178918978585,0.015228426395939132,0.15944246746403556,0.15944262604067405
DeepPCB,100,0.6485994299897748,0.5166067422786682,0.7964958314669078,0.13199268771110662,0.763178918978585,0.012804097311139517,0.13366097353908502,0.13366085061627175
DeepPCB,500,0.7006461539046138,0.6564048280500079,0.9368563923343409,0.04424132585460594,0.763178918978585,0.01158301158301156,0.0825076819973396,0.0825079294942439
