dataset,sample_size,method,seed,map50_95,map50,precision,recall,trainable_parameters,total_parameters,peak_gpu_memory_mib,training_seconds,gpu_hours,run_id,metrics_path,metrics_sha256,checkpoint_path,checkpoint_sha256,source,status
DeepPCB,50,Frozen Backbone,825,0.39515167166064313,0.6820029930276169,0.669854868676799,0.658746607628815,1225522,2591010,1710.08,265.095,0.07363739,deeppcb_50_frozen_seed825_e100,smoke/c3/p2/logs/deeppcb_50_frozen_seed825_e100/metrics.json,3c24ba7e2a72a7e6d32249ce0fe55f8377835c6c9b15e0df7829f8e4b61b91de,smoke/c3/p2/artifacts/deeppcb_50_frozen_seed825_e100/weights/best.pt,7f26d8792c36f3c8054ef14f5531c6ddc1e3695e2573a8a8d04b8d6fdcd40f35,reused_verified_existing_full_or_frozen,PASS
DeepPCB,50,Frozen Backbone,826,0.39393626300327167,0.6807711644572393,0.6564946272370148,0.6670771456174789,1225522,2591010,1720.32,252.055,0.07001535,deeppcb_50_frozen_seed826_e100,smoke/c3/p2/logs/deeppcb_50_frozen_seed826_e100/metrics.json,3e608634e789260cf64686c2eee67545debd4aae14ed8108d63e66d55144b023,smoke/c3/p2/artifacts/deeppcb_50_frozen_seed826_e100/weights/best.pt,f019b37dcbe6762691cf3024b214b065e1de48ae895c4ec7b641f031f04e3623,reused_verified_existing_full_or_frozen,PASS
DeepPCB,50,Full-SFT,824,0.5577085083655379,0.839925559666692,0.8217564339701902,0.7757698140053293,2590994,2591010,2693.12,282.421,0.07845034,deeppcb_50_full_seed824,smoke/c3/p2/logs/deeppcb_50_full_seed824/metrics.json,1d53a6da204fd94980d43be3b6ec5cdcb04fd910b8a741822b8cc880a792448a,smoke/c3/p2/artifacts/deeppcb_50_full_seed824/weights/best.pt,f219aef94e7f4e9f3b8736a04838d491f720313e801bdf1f0477835d032a95ce,reused_verified_existing_full_or_frozen,PASS
DeepPCB,50,Full-SFT,825,0.5794873457877341,0.8629847814720772,0.8397035298115942,0.8007802741189868,2590994,2591010,2682.88,276.63,0.07684173,deeppcb_50_full_seed825_e100,smoke/c3/p2/logs/deeppcb_50_full_seed825_e100/metrics.json,936ae7c84628123a071fd59290fcab3f0f4b7775b60d11fc37679e2b515bedf9,smoke/c3/p2/artifacts/deeppcb_50_full_seed825_e100/weights/best.pt,c914d3a5725f22c99fb2f963b90d109e5664c10a8471f4146e9a8d64932ad9f0,reused_verified_existing_full_or_frozen,PASS
DeepPCB,50,Full-SFT,826,0.5634949049935329,0.8412324563511655,0.8303306326740475,0.7641367349205065,2590994,2591010,2693.12,272.183,0.07560641,deeppcb_50_full_seed826_e100,smoke/c3/p2/logs/deeppcb_50_full_seed826_e100/metrics.json,85eba50d97c1b5798856924cd3019b51c5cc570ad3b57198f1f4f3fa4eac2981,smoke/c3/p2/artifacts/deeppcb_50_full_seed826_e100/weights/best.pt,24818a392c82735524bf3f59a1ea26b34ccf4d03162605502cf5c880dc5ff734,reused_verified_existing_full_or_frozen,PASS
DeepPCB,50,V-PEFT <=10%,824,0.19460648690580568,0.33060748647821786,0.28553419144443576,0.542279455904901,195410,2772770,2621.44,310.832,0.08634222,final_deeppcb_50_vpeft_b250k_predictors_seed824_e100,smoke/c3/completion/logs/final/final_deeppcb_50_vpeft_b250k_predictors_seed824_e100/metrics.json,9afbec2900491262c8fe5ffc5eb4ede78c2d6f68da545bb3358559538f48ad2e,smoke/c3/completion/artifacts/final/final_deeppcb_50_vpeft_b250k_predictors_seed824_e100/weights/best.pt,1083b713f5a8e7b302df45209bcf5d754d8cbd9dd310658c350b0c81d8a1cfe9,new_selected_efficiency_matrix,PASS
DeepPCB,50,V-PEFT <=10%,825,0.2214050934918764,0.36510459038564474,0.33037279841444017,0.5460054651501386,195410,2772770,2600.96,313.042,0.08695612,final_deeppcb_50_vpeft_b250k_predictors_seed825_e100,smoke/c3/completion/logs/final/final_deeppcb_50_vpeft_b250k_predictors_seed825_e100/metrics.json,9bd623997c61733e93aefc2d744f738a162bae82e3197aa0ead141bdd3891fc0,smoke/c3/completion/artifacts/final/final_deeppcb_50_vpeft_b250k_predictors_seed825_e100/weights/best.pt,4c1c90d54871fd54ddb15489c292757c2c02570bd6cf93b8b390a1cd682f7ecb,new_selected_efficiency_matrix,PASS
DeepPCB,50,V-PEFT <=10%,826,0.1993074109421481,0.32734160476798035,0.2627282449895439,0.47639184552609143,195410,2772770,2611.2,315.646,0.08767933,final_deeppcb_50_vpeft_b250k_predictors_seed826_e100,smoke/c3/completion/logs/final/final_deeppcb_50_vpeft_b250k_predictors_seed826_e100/metrics.json,0b415aaf19e5cd8c3463a9c40b2ad1a1165dd67612629c5c09a03b9ea1c69e75,smoke/c3/completion/artifacts/final/final_deeppcb_50_vpeft_b250k_predictors_seed826_e100/weights/best.pt,cf06096b8bdc321ac19ca7b6da352b091ec65caa171fb78240bea6bc29a01a87,new_selected_efficiency_matrix,PASS
DeepPCB,100,Frozen Backbone,824,0.4754075812321887,0.7937581338005799,0.7524897325858726,0.7586984791698078,1225522,2591010,1710.08,335.591,0.09321965,deeppcb_frozen_seed824_e100,smoke/c3/p1/logs/deeppcb_frozen_seed824_e100/metrics.json,57db498801323f0a2ebc70e7790b43d73f314da57b0ef51718d2d2e889d090bb,smoke/c3/p1/artifacts/deeppcb_frozen_seed824_e100/weights/best.pt,c06bb163afab664ba39e8830bf45a6a215f6b6e6ea8b00c365ca4879d0ba7585,reused_verified_existing_full_or_frozen,PASS
DeepPCB,100,Frozen Backbone,825,0.5015658055447039,0.8255570711474004,0.8109592649187213,0.7553273822333662,1225522,2591010,1699.84,343.248,0.0953468,deeppcb_frozen_seed825_e100,smoke/c3/p1/logs/deeppcb_frozen_seed825_e100/metrics.json,b74bb17f46dd3ad6ca8aac499f8b6d35ae3ff5f1fd44d8e0daa3a70a8742e487,smoke/c3/p1/artifacts/deeppcb_frozen_seed825_e100/weights/best.pt,f9bb9684512617cb3ea6e58e2a9646b44af3c4396f5ceb16d7fc43b839afbeba,reused_verified_existing_full_or_frozen,PASS
