dataset,sample_size,old_map50_95_mean,new_map50_95_mean,old_map50_mean,new_map50_mean,old_trainable_parameters,new_trainable_parameters,old_total_parameters,new_total_parameters,new_fraction_of_full,old_peak_gpu_memory_mib_mean,new_peak_gpu_memory_mib_mean,old_training_seconds_mean,new_training_seconds_mean,old_gpu_hours_mean,new_gpu_hours_mean
NEU-DET,10,0.11922147142841355,0.07641393766200627,0.2598722004922114,0.17781740964609405,613602,195410,2772770,2772770,0.07541893188482876,2641.92,2600.96,221.84733333333335,216.48666666666668,0.06162417333333333,0.06013516666666666
NEU-DET,50,0.2505354524487078,0.18062375633286734,0.5060411866693562,0.3726117957406936,613602,195410,2772770,2772770,0.07541893188482876,2641.92,2600.96,304.11066666666665,290.41866666666664,0.08447514333333334,0.08067182666666667
NEU-DET,100,0.3202878141018712,0.29858078321080755,0.6110463518508431,0.5698987609593602,613602,195410,2772770,2772770,0.07541893188482876,2621.44,2587.306666666667,402.62899999999996,403.95166666666665,0.11184136333333333,0.11220869666666666
NEU-DET,500,0.39085495305989043,0.3696103541027589,0.6943571342663176,0.6706019275122541,613602,195410,2772770,2772770,0.07541893188482876,2621.44,2587.306666666667,1240.3216666666667,1225.3606666666667,0.34453381,0.34037790333333334
DeepPCB,10,0.18972094695895633,0.11041148134543356,0.3207715408739013,0.20528225827549926,613602,195410,2772770,2772770,0.07541893188482876,2662.4,2621.44,245.90166666666667,231.41666666666666,0.06830598,0.06428238666666666
DeepPCB,50,0.37085159574146104,0.20510633044661006,0.5915332218459943,0.341017893877281,613602,195410,2772770,2772770,0.07541893188482876,2648.7466666666664,2611.2000000000003,321.25600000000003,313.17333333333335,0.08923784666666668,0.08699255666666666
DeepPCB,100,0.5166067422786682,0.3716462320204412,0.795848841052877,0.5917983303571632,613602,195410,2772770,2772770,0.07541893188482876,2631.68,2594.133333333333,423.7443333333333,414.0663333333334,0.11770682333333334,0.11501847333333333
DeepPCB,500,0.6564048280500079,0.607583528695832,0.9282445053323903,0.8917940912733826,613602,195410,2772770,2772770,0.07541893188482876,2621.44,2580.48,1256.1386666666667,1242.2666666666667,0.34892743666666665,0.3450740433333333
