dataset,sample_size,historical_policy,new_policy,metric,seed824_delta,seed825_delta,seed826_delta,mean,sample_std,ci95_lower,ci95_upper,significant_positive_95ci,significant_negative_95ci,historical_sources
neu,100,existing accuracy-first V-PEFT (613602 params),mild,map50_95,-0.021765092530507457,-0.02971239512333468,0.008495382668134488,-0.014327368328569215,0.020160564895821853,-0.06440898787938634,0.03575425122224791,False,False,smoke/c3/p1/logs/neu_vpeft_seed824_e100/metrics.json;smoke/c3/p1/logs/neu_vpeft_seed825_e100/metrics.json;smoke/c3/p1/logs/neu_vpeft_seed826_e100/metrics.json
neu,100,existing accuracy-first V-PEFT (613602 params),mild,map50,-0.021937061476289377,-0.0290948565606155,0.019718841636564677,-0.010437692133446733,0.02636040410129708,-0.07592056606226986,0.055045181795376395,False,False,smoke/c3/p1/logs/neu_vpeft_seed824_e100/metrics.json;smoke/c3/p1/logs/neu_vpeft_seed825_e100/metrics.json;smoke/c3/p1/logs/neu_vpeft_seed826_e100/metrics.json
neu,100,existing accuracy-first V-PEFT (613602 params),mild,precision,0.05502112105939294,-0.13773784758120622,-0.14592386440959737,-0.07621353031047022,0.11372621952745031,-0.35872512106985666,0.2062980604489162,False,False,smoke/c3/p1/logs/neu_vpeft_seed824_e100/metrics.json;smoke/c3/p1/logs/neu_vpeft_seed825_e100/metrics.json;smoke/c3/p1/logs/neu_vpeft_seed826_e100/metrics.json
neu,100,existing accuracy-first V-PEFT (613602 params),mild,recall,-0.04171415788223176,0.1231133572618422,0.13066472913073213,0.07068797617011419,0.09741630052982267,-0.17130752972931307,0.31268348206954144,False,False,smoke/c3/p1/logs/neu_vpeft_seed824_e100/metrics.json;smoke/c3/p1/logs/neu_vpeft_seed825_e100/metrics.json;smoke/c3/p1/logs/neu_vpeft_seed826_e100/metrics.json
deeppcb,100,existing accuracy-first V-PEFT (613602 params),medium,map50_95,0.11547589499511834,0.08451972536680696,0.1288126647059249,0.1096027616892834,0.022723036547648644,0.05315560967250153,0.16604991370606526,True,False,smoke/c3/p1/logs/deeppcb_vpeft_seed824_e100/metrics.json;smoke/c3/p1/logs/deeppcb_vpeft_seed825_e100/metrics.json;smoke/c3/p1/logs/deeppcb_vpeft_seed826_e100/metrics.json
deeppcb,100,existing accuracy-first V-PEFT (613602 params),medium,map50,0.050785892762566176,0.013723622031643568,0.04702744949008775,0.03717898809476583,0.020399684355999488,-0.013496637124726527,0.08785461331425819,False,False,smoke/c3/p1/logs/deeppcb_vpeft_seed824_e100/metrics.json;smoke/c3/p1/logs/deeppcb_vpeft_seed825_e100/metrics.json;smoke/c3/p1/logs/deeppcb_vpeft_seed826_e100/metrics.json
deeppcb,100,existing accuracy-first V-PEFT (613602 params),medium,precision,0.056183675894661445,0.007056954580813679,0.04060533763451768,0.03461532270333093,0.02510515675949856,-0.027749343965974574,0.09697998937263644,False,False,smoke/c3/p1/logs/deeppcb_vpeft_seed824_e100/metrics.json;smoke/c3/p1/logs/deeppcb_vpeft_seed825_e100/metrics.json;smoke/c3/p1/logs/deeppcb_vpeft_seed826_e100/metrics.json
deeppcb,100,existing accuracy-first V-PEFT (613602 params),medium,recall,0.07679407567085372,0.05313136258664808,0.05968343629057005,0.06320295818269062,0.01221766235366636,0.032852602378748444,0.09355331398663279,True,False,smoke/c3/p1/logs/deeppcb_vpeft_seed824_e100/metrics.json;smoke/c3/p1/logs/deeppcb_vpeft_seed825_e100/metrics.json;smoke/c3/p1/logs/deeppcb_vpeft_seed826_e100/metrics.json
